"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado"
"4391","Wednesday",226,2014-04-16 16:05:23,2014-04-16 16:09:09,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,19476,"Subscriber","1969",1,"0.769","10017","32791","17.1","-9999","29","0","48","3.5","10","-999","-9999","0","0","0","0","0"
"4392","Tuesday",365,2014-04-22 16:19:57,2014-04-22 16:26:02,359,"E 47 St & Park Ave",40.75510267,-73.97498696,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,19478,"Subscriber","1973",1,"1.122","10035","32791","45","-9999","42","0","69.1","5.8","10","-999","-9999","0","0","0","0","0"
"4394","Monday",322,2014-04-14 16:08:28,2014-04-14 16:13:50,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,17864,"Subscriber","1960",1,"1.083","10017","0","51.1","-9999","46","0","73","12.7","10","-999","-9999","0","0","0","0","0"
"4395","Wednesday",252,2014-04-16 15:09:00,2014-04-16 15:13:12,458,"11 Ave & W 27 St",40.751396,-74.005226,521,"8 Ave & W 31 St",40.75044999,-73.99481051,18862,"Subscriber","1963",1,"0.811","10001","0","15.1","-9999","29","0","46","-9999","10","-999","-9999","0","0","0","0","0"
"4396","Monday",405,2014-04-21 16:48:10,2014-04-21 16:54:55,2012,"E 27 St & 1 Ave",40.739445,-73.976806,379,"W 31 St & 7 Ave",40.749156,-73.9916,16613,"Subscriber","1975",1,"1.203","10016","10","28","-9999","25","0","64.9","6.9","10","-999","-9999","0","0","0","0","0"
"4398","Friday",214,2014-04-11 16:57:17,2014-04-11 17:00:51,153,"E 40 St & 5 Ave",40.752062307,-73.9816324043,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,20257,"Subscriber","1975",1,"0.83","10017","-32828","41","-9999","35","0","70","6.9","10","-999","-9999","0","0","0","0","0"
"4399","Thursday",158,2014-04-03 13:32:15,2014-04-03 13:34:53,525,"W 34 St & 11 Ave",40.75594159,-74.0021163,490,"8 Ave & W 33 St",40.751551,-73.993934,18379,"Subscriber","1989",1,"0.865","10018","21","21","-9999","24","0","57.9","3.5","10","-999","-9999","0","0","0","0","0"
"4400","Tuesday",349,2014-04-29 15:34:06,2014-04-29 15:39:55,497,"E 17 St & Broadway",40.73704984,-73.99009296,379,"W 31 St & 7 Ave",40.749156,-73.9916,17997,"Subscriber","1978",1,"1.142","10003","4","37.9","-9999","68","0","48","-9999","10","-999","-9999","0","0","0","0","0"
"4401","Friday",258,2014-04-11 13:01:22,2014-04-11 13:05:40,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,15569,"Subscriber","1971",1,"0.974","10019","0","41","-9999","35","0","70","8.1","10","-999","-9999","0","0","0","0","0"
"4402","Thursday",375,2014-04-17 14:21:07,2014-04-17 14:27:22,536,"1 Ave & E 30 St",40.74144387,-73.97536082,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,16822,"Subscriber","1975",1,"1.259","10016","-32782","25","-9999","44","0","46","8.1","10","41.9","-9999","0","0","0","0","0"
