"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado"
"6428","Friday",261,2014-08-29 09:24:38,2014-08-29 09:28:59,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,16195,"Subscriber","1978",1,"0.769","10017","32791","50","-9999","58","0","64.9","0","10","-999","-9999","0","0","0","0","0"
"6430","Tuesday",232,2014-08-12 16:20:35,2014-08-12 16:24:27,458,"11 Ave & W 27 St",40.751396,-74.005226,521,"8 Ave & W 31 St",40.75044999,-73.99481051,18458,"Subscriber","1978",1,"0.811","10001","0","69.1","0.02","85","0","73.9","-9999","9","-999","-9999","0","0","0","0","0"
"6431","Tuesday",331,2014-08-19 16:28:50,2014-08-19 16:34:21,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,19035,"Subscriber","1960",1,"1.144","10017","0","63","-9999","56","0","80.1","0","10","-999","81.5","0","0","0","0","0"
"6433","Wednesday",331,2014-08-27 10:20:39,2014-08-27 10:26:10,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,19718,"Subscriber","1974",1,"1.144","10017","0","60.1","-9999","52","0","79","0","10","-999","-9999","0","0","0","0","0"
"6434","Friday",331,2014-08-29 10:05:50,2014-08-29 10:11:21,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,15190,"Subscriber","1974",1,"1.144","10017","0","52","-9999","54","0","69.1","-9999","10","-999","-9999","0","0","0","0","0"
"6437","Friday",277,2014-08-29 16:17:07,2014-08-29 16:21:44,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,17926,"Subscriber","1985",1,"0.729","10017","32791","48.9","-9999","35","0","79","6.9","10","-999","-9999","0","0","0","0","0"
"6438","Thursday",281,2014-08-28 16:32:37,2014-08-28 16:37:18,491,"E 24 St & Park Ave S",40.74096374,-73.98602213,379,"W 31 St & 7 Ave",40.749156,-73.9916,18536,"Subscriber","1975",1,"0.89","10010","-16","48","-9999","32","0","80.1","-9999","10","-999","-9999","0","0","0","0","0"
"6439","Thursday",327,2014-08-14 15:51:07,2014-08-14 15:56:34,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,20284,"Subscriber","1978",1,"1.083","10017","0","50","-9999","39","0","77","-9999","10","-999","-9999","0","0","0","0","0"
"6440","Tuesday",368,2014-08-26 16:49:58,2014-08-26 16:56:06,359,"E 47 St & Park Ave",40.75510267,-73.97498696,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,15011,"Subscriber","1969",1,"1.122","10035","32791","62.1","-9999","49","0","82.9","5.8","10","-999","83.7","0","0","0","0","0"
"6441","Friday",160,2014-08-29 16:21:38,2014-08-29 16:24:18,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,21302,"Subscriber","1979",1,"0.679","10013","-1","48.9","-9999","35","0","79","6.9","10","-999","-9999","0","0","0","0","0"
"6442","Thursday",271,2014-08-21 15:07:05,2014-08-21 15:11:36,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,521,"8 Ave & W 31 St",40.75044999,-73.99481051,17112,"Subscriber","1963",1,"1.096","10011","4","61","-9999","56","0","78.1","5.8","10","-999","-9999","0","0","0","0","0"
"6443","Tuesday",350,2014-08-05 14:20:41,2014-08-05 14:26:31,536,"1 Ave & E 30 St",40.74144387,-73.97536082,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,16541,"Subscriber","1975",1,"1.259","10016","-32782","60.1","-9999","40","0","87.1","0","10","-999","86.7","0","0","0","0","0"
"6444","Thursday",198,2014-08-21 13:58:46,2014-08-21 14:02:04,546,"E 30 St & Park Ave S",40.74444921,-73.98303529,379,"W 31 St & 7 Ave",40.749156,-73.9916,16800,"Subscriber","1964",1,"0.869","10016","-11","63","-9999","54","0","81","4.6","10","-999","82.2","0","0","0","0","0"
"6445","Friday",207,2014-08-01 12:08:42,2014-08-01 12:12:09,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,21323,"Subscriber","1966",1,"0.717","10011","-14","68","-9999","62","0","82","3.5","6","-999","84.9","0","0","0","0","0"
"6446","Monday",314,2014-08-04 16:43:19,2014-08-04 16:48:33,528,"2 Ave & E 31 St",40.74290902,-73.97706058,379,"W 31 St & 7 Ave",40.749156,-73.9916,15372,"Subscriber","1983",1,"0.882","10016","18","63","-9999","51","0","82.9","8.1","10","-999","84","0","0","0","0","0"
"6447","Wednesday",202,2014-08-27 10:56:47,2014-08-27 11:00:09,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,499,"Broadway & W 60 St",40.76915505,-73.98191841,17432,"Subscriber","1984",1,"0.759","10153","32798","60.1","-9999","52","0","79","0","10","-999","-9999","0","0","0","0","0"
"6448","Thursday",272,2014-08-14 09:51:10,2014-08-14 09:55:42,521,"8 Ave & W 31 St",40.75044999,-73.99481051,434,"9 Ave & W 18 St",40.74317449,-74.00366443,15120,"Subscriber","1982",1,"1.007","10001","1","48.9","-9999","58","0","64","9.2","10","-999","-9999","0","0","0","0","0"
"6449","Thursday",146,2014-08-28 16:21:14,2014-08-28 16:23:40,472,"E 32 St & Park Ave",40.7457121,-73.98194829,528,"2 Ave & E 31 St",40.74290902,-73.97706058,21321,"Subscriber","1983",1,"0.366","10016","-4","48","-9999","32","0","80.1","-9999","10","-999","-9999","0","0","0","0","0"
"6450","Wednesday",494,2014-08-13 16:11:12,2014-08-13 16:19:26,522,"E 51 St & Lexington Ave",40.75714758,-73.97207836,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,16266,"Subscriber","1981",1,"1.781","10035","0","66","-9999","62","0","80.1","0","10","-999","82.1","0","0","0","0","0"
"6451","Thursday",128,2014-08-28 12:14:02,2014-08-28 12:16:10,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,147,"Greenwich St & Warren St",40.71542197,-74.01121978,20193,"Subscriber","1986",1,"0.351","10013","8","54","-9999","43","0","78.1","3.5","10","-999","-9999","0","0","0","0","0"
"6452","Wednesday",238,2014-08-06 12:52:37,2014-08-06 12:56:35,304,"Broadway & Battery Pl",40.70463334,-74.01361706,3002,"South End Ave & Liberty St",40.711512,-74.015756,17401,"Subscriber","1979",1,"1.221","10003","0","57.9","-9999","50","0","78.1","3.5","10","-999","-9999","0","0","0","0","0"
"6454","Monday",205,2014-08-18 09:58:58,2014-08-18 10:02:23,442,"W 27 St & 7 Ave",40.746647,-73.993915,489,"10 Ave & W 28 St",40.75066386,-74.00176802,21646,"Subscriber","1985",1,"1.003","10001","-18","53.1","-9999","61","0","66.9","3.5","10","-999","-9999","0","0","0","0","0"
"6455","Monday",172,2014-08-04 09:36:20,2014-08-04 09:39:12,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,459,"W 20 St & 11 Ave",40.746745,-74.007756,16040,"Subscriber","1982",1,"0.593","10011","-1","66","-9999","79","0","73","3.5","7","-999","-9999","0","0","0","0","0"
"6457","Friday",255,2014-08-08 09:29:36,2014-08-08 09:33:51,442,"W 27 St & 7 Ave",40.746647,-73.993915,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,16406,"Subscriber","1987",1,"0.723","10001","9","54","-9999","61","0","68","5.8","10","-999","-9999","0","0","0","0","0"
"6458","Friday",112,2014-08-01 16:10:05,2014-08-01 16:11:57,294,"Washington Square E",40.73049393,-73.9957214,382,"University Pl & E 14 St",40.73492695,-73.99200509,19149,"Subscriber","1995",1,"0.361","10003","-5","66.9","-9999","74","0","75.9","5.8","7","-999","-9999","0","0","0","0","0"
"6459","Monday",155,2014-08-11 11:31:02,2014-08-11 11:33:37,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,509,"9 Ave & W 22 St",40.7454973,-74.00197139,16533,"Subscriber","1978",1,"0.661","10011","-12","57.9","-9999","48","0","79","0","10","-999","-9999","0","0","0","0","0"
