"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado"
"18271","Friday",298,2013-12-20 16:14:18,2013-12-20 16:19:16,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,20884,"Subscriber","1978",1,"0.769","10017","32791","28.9","-9999","41","0","52","5.8","10","-999","-9999","0","0","0","0","0"
"18272","Friday",352,2013-12-06 16:22:39,2013-12-06 16:28:31,359,"E 47 St & Park Ave",40.75510267,-73.97498696,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,19732,"Subscriber","1969",1,"1.122","10035","32791","41","0.02","86","0","45","6.9","7","41.2","-9999","0","1","0","0","0"
"18273","Friday",284,2013-12-06 16:38:25,2013-12-06 16:43:09,458,"11 Ave & W 27 St",40.751396,-74.005226,521,"8 Ave & W 31 St",40.75044999,-73.99481051,20205,"Subscriber","1978",1,"0.811","10001","0","41","0.02","86","0","45","6.9","7","41.2","-9999","0","1","0","0","0"
"18275","Thursday",338,2013-12-26 09:52:11,2013-12-26 09:57:49,417,"Barclay St & Church St",40.71291224,-74.01020234,415,"Pearl St & Hanover Square",40.7047177,-74.00926027,19724,"Subscriber","1984",1,"0.873","10007","0","19.9","-9999","61","0","32","0","10","-999","-9999","0","0","0","0","0"
"18276","Tuesday",159,2013-12-24 15:35:29,2013-12-24 15:38:08,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,509,"9 Ave & W 22 St",40.7454973,-74.00197139,16004,"Subscriber","1964",1,"0.661","10011","-12","17.1","-9999","41","0","39","9.2","10","32.8","-9999","0","0","0","0","0"
"18277","Thursday",142,2013-12-12 16:28:42,2013-12-12 16:31:04,472,"E 32 St & Park Ave",40.7457121,-73.98194829,528,"2 Ave & E 31 St",40.74290902,-73.97706058,16393,"Subscriber","1970",1,"0.366","10016","-4","3.9","-9999","37","0","27","-9999","10","-999","-9999","0","0","0","0","0"
"18278","Tuesday",227,2013-12-10 15:41:55,2013-12-10 15:45:42,525,"W 34 St & 11 Ave",40.75594159,-74.0021163,490,"8 Ave & W 33 St",40.751551,-73.993934,18174,"Subscriber","1978",1,"0.865","10018","21","28.9","-9999","82","0","34","-9999","6","-999","-9999","0","0","0","0","0"
"18279","Wednesday",448,2013-12-04 15:36:36,2013-12-04 15:44:04,2012,"E 27 St & 1 Ave",40.739445,-73.976806,379,"W 31 St & 7 Ave",40.749156,-73.9916,15422,"Subscriber","1981",1,"1.203","10016","10","37.9","-9999","59","0","52","3.5","5","-999","-9999","0","0","0","0","0"
"18280","Monday",448,2013-12-09 15:23:54,2013-12-09 15:31:22,2012,"E 27 St & 1 Ave",40.739445,-73.976806,379,"W 31 St & 7 Ave",40.749156,-73.9916,15788,"Subscriber","1975",1,"1.203","10016","10","35.1","-9999","89","0","37.9","3.5","3","35.5","-9999","0","0","0","0","0"
"18282","Friday",117,2013-12-06 11:48:46,2013-12-06 11:50:43,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,147,"Greenwich St & Warren St",40.71542197,-74.01121978,20119,"Subscriber","1982",1,"0.351","10013","8","43","0.02","86","0","46.9","4.6","10","-999","-9999","0","0","0","0","0"
