"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado"
"27241","Tuesday",268,2014-02-25 16:36:40,2014-02-25 16:41:08,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,20553,"Subscriber","1969",1,"0.769","10017","32791","10","-9999","42","0","30.9","9.2","10","22.8","-9999","0","0","0","0","0"
"27242","Tuesday",386,2014-02-25 16:55:17,2014-02-25 17:01:43,359,"E 47 St & Park Ave",40.75510267,-73.97498696,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,18782,"Subscriber","1968",1,"1.122","10035","32791","10","-9999","42","0","30.9","9.2","10","22.8","-9999","0","0","0","0","0"
"27243","Thursday",418,2014-02-20 10:29:49,2014-02-20 10:36:47,536,"1 Ave & E 30 St",40.74144387,-73.97536082,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,15864,"Subscriber","1963",1,"1.259","10016","-32782","25","-9999","51","0","42.1","5.8","10","38.4","-9999","0","0","0","0","0"
"27244","Thursday",318,2014-02-20 16:31:19,2014-02-20 16:36:37,519,"Pershing Square N",40.75188406,-73.97770164,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,15387,"Subscriber","1966",1,"1.147","10017","0","23","-9999","40","0","46","3.5","10","44.8","-9999","0","0","0","0","0"
"27247","Friday",473,2014-02-28 16:52:16,2014-02-28 17:00:09,2012,"E 27 St & 1 Ave",40.739445,-73.976806,379,"W 31 St & 7 Ave",40.749156,-73.9916,21105,"Subscriber","1975",1,"1.203","10016","10","-6","-9999","27","0","24.1","3.5","10","19.7","-9999","0","0","0","0","0"
"27248","Monday",271,2014-02-24 14:23:49,2014-02-24 14:28:20,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,521,"8 Ave & W 31 St",40.75044999,-73.99481051,19929,"Subscriber","1967",1,"1.096","10011","4","8.1","-9999","31","0","36","9.2","10","29","-9999","0","0","0","0","0"
"27249","Friday",209,2014-02-21 13:17:41,2014-02-21 13:21:10,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,15042,"Subscriber","1968",1,"0.599","10019","32791","37","-9999","93","0","39","8.1","0.2","33.4","-9999","1","0","0","0","0"
"27250","Tuesday",255,2014-02-04 13:00:04,2014-02-04 13:04:19,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,19536,"Subscriber","1971",1,"0.974","10019","0","23","-9999","64","0","34","0","5","-999","-9999","0","0","0","0","0"
"27251","Friday",440,2014-02-07 14:03:53,2014-02-07 14:11:13,536,"1 Ave & E 30 St",40.74144387,-73.97536082,379,"W 31 St & 7 Ave",40.749156,-73.9916,16805,"Subscriber","1975",1,"1.234","10016","17","12","-9999","46","0","30.9","4.6","10","26.2","-9999","0","0","0","0","0"
"27252","Thursday",229,2014-02-27 16:59:31,2014-02-27 17:03:20,472,"E 32 St & Park Ave",40.7457121,-73.98194829,379,"W 31 St & 7 Ave",40.749156,-73.9916,18149,"Subscriber","1970",1,"0.763","10016","14","6.1","-9999","38","0","28.9","12.7","10","18.6","-9999","0","0","0","0","0"
"27253","Tuesday",234,2014-02-25 16:52:41,2014-02-25 16:56:35,153,"E 40 St & 5 Ave",40.752062307,-73.9816324043,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,15617,"Subscriber","1971",1,"0.83","10017","-32828","10","-9999","42","0","30.9","9.2","10","22.8","-9999","0","0","0","0","0"
"27255","Thursday",429,2014-02-27 13:53:33,2014-02-27 14:00:42,508,"W 46 St & 11 Ave",40.76341379,-73.99667444,490,"8 Ave & W 33 St",40.751551,-73.993934,14561,"Subscriber","1982",1,"1.454","10036","18","12","-9999","44","0","32","3.5","10","28.7","-9999","0","0","0","0","0"
"27256","Tuesday",257,2014-02-25 14:53:55,2014-02-25 14:58:12,458,"11 Ave & W 27 St",40.751396,-74.005226,521,"8 Ave & W 31 St",40.75044999,-73.99481051,17749,"Subscriber","1960",1,"0.811","10001","0","10.9","-9999","43","0","30.9","12.7","10","21.2","-9999","0","0","0","0","0"
"27257","Friday",272,2014-02-28 16:09:33,2014-02-28 16:14:05,510,"W 51 St & 6 Ave",40.7606597,-73.98042047,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,21035,"Subscriber","1966",1,"0.924","10019","32791","-6","-9999","27","0","24.1","3.5","10","19.7","-9999","0","0","0","0","0"
"27258","Wednesday",215,2014-02-19 13:43:24,2014-02-19 13:46:59,546,"E 30 St & Park Ave S",40.74444921,-73.98303529,379,"W 31 St & 7 Ave",40.749156,-73.9916,18050,"Subscriber","1964",1,"0.869","10016","-11","35.1","0.13","89","0","37.9","3.5","1","35.5","-9999","0","1","0","0","0"
"27259","Tuesday",412,2014-02-25 14:16:38,2014-02-25 14:23:30,212,"W 16 St & The High Line",40.74334935,-74.00681753,521,"8 Ave & W 31 St",40.75044999,-73.99481051,19992,"Subscriber","1975",1,"1.054","10011","5","10.9","-9999","43","0","30.9","12.7","10","21.2","-9999","0","0","0","0","0"
"27260","Monday",181,2014-02-24 09:19:34,2014-02-24 09:22:35,499,"Broadway & W 60 St",40.76915505,-73.98191841,422,"W 59 St & 10 Ave",40.770513,-73.988038,15558,"Subscriber","1984",1,"0.517","10463","10","10.9","-9999","40","0","33.1","9.2","10","25.5","-9999","0","0","0","0","0"
"27261","Thursday",123,2014-02-27 09:57:38,2014-02-27 09:59:41,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,524,"W 43 St & 6 Ave",40.75527307,-73.98316936,17874,"Subscriber","1972",1,"0.29","10017","0","5","-9999","39","0","27","10.4","10","17.3","-9999","0","0","0","0","0"
