"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado"
"7869","Friday",241,2014-01-10 16:26:25,2014-01-10 16:30:26,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,15598,"Subscriber","1969",1,"0.769","10017","32791","33.1","-9999","92","0","35.1","3.5","0.8","32.2","-9999","0","0","0","0","0"
"7870","Friday",251,2014-01-17 16:18:16,2014-01-17 16:22:27,458,"11 Ave & W 27 St",40.751396,-74.005226,521,"8 Ave & W 31 St",40.75044999,-73.99481051,16518,"Subscriber","1978",1,"0.811","10001","0","24.8","-9999","46","0","44.6","-9999","-9999","-999","-9999","0","0","0","0","0"
"7871","Wednesday",328,2014-01-15 14:53:14,2014-01-15 14:58:42,536,"1 Ave & E 30 St",40.74144387,-73.97536082,379,"W 31 St & 7 Ave",40.749156,-73.9916,16005,"Subscriber","1969",1,"1.234","10016","17","37.4","-9999","76","0","44.6","-9999","-9999","-999","-9999","0","0","0","0","0"
"7872","Friday",361,2014-01-17 17:00:13,2014-01-17 17:06:14,359,"E 47 St & Park Ave",40.75510267,-73.97498696,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,16814,"Subscriber","1972",1,"1.122","10035","32791","23","-9999","46","0","42.8","-9999","-9999","-999","-9999","0","0","0","0","0"
"7873","Wednesday",244,2014-01-15 12:58:43,2014-01-15 13:02:47,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,16981,"Subscriber","1971",1,"0.974","10019","0","33.8","-9999","66","0","44.6","-9999","-9999","-999","-9999","0","0","0","0","0"
"7874","Tuesday",463,2014-01-14 17:00:35,2014-01-14 17:08:18,2012,"E 27 St & 1 Ave",40.739445,-73.976806,379,"W 31 St & 7 Ave",40.749156,-73.9916,18938,"Subscriber","1975",1,"1.203","10016","10","42.1","0.02","83","0","46.9","3.5","10","-999","-9999","0","0","0","0","0"
"7875","Wednesday",176,2014-01-15 16:12:15,2014-01-15 16:15:11,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,21444,"Subscriber","1971",1,"0.679","10013","-1","37.4","-9999","81","0","42.8","-9999","-9999","-999","-9999","0","0","0","0","0"
"7876","Wednesday",196,2014-01-15 12:06:45,2014-01-15 12:10:01,153,"E 40 St & 5 Ave",40.752062307,-73.9816324043,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,15393,"Subscriber","1986",1,"0.83","10017","-32828","33.8","-9999","66","0","44.6","-9999","-9999","-999","-9999","0","0","0","0","0"
"7877","Friday",346,2014-01-17 13:39:11,2014-01-17 13:44:57,519,"Pershing Square N",40.75188406,-73.97770164,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,20240,"Subscriber","1959",1,"1.147","10017","0","26.6","-9999","49","0","44.6","-9999","-9999","-999","-9999","0","0","0","0","0"
"7880","Friday",194,2014-01-17 16:12:09,2014-01-17 16:15:23,546,"E 30 St & Park Ave S",40.74444921,-73.98303529,379,"W 31 St & 7 Ave",40.749156,-73.9916,20885,"Subscriber","1984",1,"0.869","10016","-11","24.8","-9999","46","0","44.6","-9999","-9999","-999","-9999","0","0","0","0","0"
"7882","Wednesday",132,2014-01-08 09:09:28,2014-01-08 09:11:40,494,"W 26 St & 8 Ave",40.74734825,-73.99723551,388,"W 26 St & 10 Ave",40.749717753,-74.002950346,17987,"Subscriber","1976",1,"0.974","10001","9","-5.1","-9999","51","0","10","4.6","10","1.8","-9999","0","0","0","0","0"
"7883","Monday",216,2014-01-06 15:39:10,2014-01-06 15:42:46,525,"W 34 St & 11 Ave",40.75594159,-74.0021163,490,"8 Ave & W 33 St",40.751551,-73.993934,14734,"Subscriber","1970",1,"0.865","10018","21","30","-9999","68","0","39.9","5.8","10","35.8","-9999","0","0","0","0","0"
"7884","Wednesday",174,2014-01-08 11:01:27,2014-01-08 11:04:21,472,"E 32 St & Park Ave",40.7457121,-73.98194829,527,"E 33 St & 1 Ave",40.74315566,-73.97434726,19738,"Subscriber","1989",1,"0.694","10016","16","-4","-9999","45","0","14","9.2","10","2","-9999","0","0","0","0","0"
"7889","Thursday",343,2014-01-09 15:51:31,2014-01-09 15:57:14,528,"2 Ave & E 31 St",40.74290902,-73.97706058,379,"W 31 St & 7 Ave",40.749156,-73.9916,15347,"Subscriber","1983",1,"0.882","10016","18","7","-9999","35","0","32","3.5","10","28.7","-9999","0","0","0","0","0"
"7890","Thursday",710,2014-01-16 15:14:21,2014-01-16 15:26:11,536,"1 Ave & E 30 St",40.74144387,-73.97536082,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,19814,"Subscriber","1970",1,"1.733","10016","9","28.4","-9999","67","0","38.5","-9999","-9999","-999","-9999","0","0","0","0","0"
