"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado"
"6878","Thursday",249,2014-07-10 11:44:10,2014-07-10 11:48:19,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,15428,"Subscriber","1974",1,"0.769","10017","32791","62.1","-9999","64","0","75","3.5","10","-999","-9999","0","0","0","0","0"
"6879","Monday",307,2014-07-21 11:59:27,2014-07-21 12:04:34,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,21531,"Subscriber","1963",1,"1.144","10017","0","60.1","-9999","58","0","75.9","4.6","10","-999","-9999","0","0","0","0","0"
"6880","Thursday",351,2014-07-31 16:02:15,2014-07-31 16:08:06,536,"1 Ave & E 30 St",40.74144387,-73.97536082,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,21457,"Subscriber","1959",1,"1.259","10016","-32782","61","-9999","60","0","75.9","0","9","-999","-9999","0","0","0","0","0"
"6882","Thursday",214,2014-07-17 15:10:19,2014-07-17 15:13:53,458,"11 Ave & W 27 St",40.751396,-74.005226,521,"8 Ave & W 31 St",40.75044999,-73.99481051,18144,"Subscriber","1963",1,"0.811","10001","0","57","-9999","52","0","75.9","4.6","10","-999","-9999","0","0","0","0","0"
"6883","Tuesday",291,2014-07-01 16:33:42,2014-07-01 16:38:33,491,"E 24 St & Park Ave S",40.74096374,-73.98602213,379,"W 31 St & 7 Ave",40.749156,-73.9916,19655,"Subscriber","1975",1,"0.89","10010","-16","69.1","-9999","57","0","86","5.8","10","-999","90.1","0","0","0","0","0"
"6884","Tuesday",334,2014-07-22 16:54:35,2014-07-22 17:00:09,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,17331,"Subscriber","1968",1,"1.083","10017","0","66.9","-9999","56","0","84","4.6","10","-999","86.5","0","0","0","0","0"
"6885","Thursday",261,2014-07-17 09:43:57,2014-07-17 09:48:18,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,16901,"Subscriber","1970",1,"0.729","10017","32791","57","-9999","61","0","71.1","5.8","10","-999","-9999","0","0","0","0","0"
"6886","Monday",149,2014-07-07 10:57:32,2014-07-07 11:00:01,472,"E 32 St & Park Ave",40.7457121,-73.98194829,528,"2 Ave & E 31 St",40.74290902,-73.97706058,21522,"Subscriber","1976",1,"0.366","10016","-4","63","-9999","58","0","79","3.5","9","-999","-9999","0","0","0","0","0"
"6887","Wednesday",149,2014-07-09 09:27:12,2014-07-09 09:29:41,472,"E 32 St & Park Ave",40.7457121,-73.98194829,528,"2 Ave & E 31 St",40.74290902,-73.97706058,17956,"Subscriber","1977",1,"0.366","10016","-4","64.9","-9999","69","0","75.9","4.6","10","-999","-9999","0","0","0","0","0"
"6888","Tuesday",196,2014-07-08 16:58:32,2014-07-08 17:01:48,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,19686,"Subscriber","1962",1,"0.679","10013","-1","68","-9999","51","0","88","4.6","9","-999","91.4","0","0","0","0","0"
"6889","Monday",417,2014-07-14 16:07:51,2014-07-14 16:14:48,359,"E 47 St & Park Ave",40.75510267,-73.97498696,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,17400,"Subscriber","1976",1,"1.122","10035","32791","72","-9999","69","0","82.9","3.5","8","-999","88","0","0","0","0","0"
"6890","Tuesday",256,2014-07-29 10:42:12,2014-07-29 10:46:28,497,"E 17 St & Broadway",40.73704984,-73.99009296,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,16388,"Subscriber","1976",1,"0.671","10003","-19","51.1","-9999","55","0","68","3.5","10","-999","-9999","0","0","0","0","0"
"6891","Wednesday",556,2014-07-30 16:56:52,2014-07-30 17:06:08,347,"W Houston St & Hudson St",40.72873888,-74.00748842,521,"8 Ave & W 31 St",40.75044999,-73.99481051,21037,"Subscriber","1974",1,"1.674","10014","-30","50","-9999","37","0","78.1","0","10","-999","-9999","0","0","0","0","0"
