"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado","speed"
"18777","Tuesday",268,2014-03-18 15:54:42,2014-03-18 15:59:10,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,15795,"Subscriber","1969",1,"0.769","10017","32791","7","-9999","24","0","42.1","10.4","10","36.1","-9999","0","0","0","0","0",10.3298507462687
"18778","Wednesday",268,2014-03-19 15:53:04,2014-03-19 15:57:32,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,19169,"Subscriber","1969",1,"0.769","10017","32791","30.9","-9999","65","0","42.1","6.9","10","37.7","-9999","0","0","0","0","0",10.3298507462687
"18779","Friday",332,2014-03-21 16:47:52,2014-03-21 16:53:24,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,14917,"Subscriber","1971",1,"1.083","10017","0","17.1","-9999","26","0","51.1","4.6","10","-999","-9999","0","0","0","0","0",11.7433734939759
"18780","Thursday",333,2014-03-06 16:38:34,2014-03-06 16:44:07,359,"E 47 St & Park Ave",40.75510267,-73.97498696,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,15451,"Subscriber","1972",1,"1.122","10035","32791","3.9","-9999","35","0","28.9","5.8","10","22.8","-9999","0","0","0","0","0",12.1297297297297
"18781","Thursday",333,2014-03-20 16:48:24,2014-03-20 16:53:57,359,"E 47 St & Park Ave",40.75510267,-73.97498696,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,15432,"Subscriber","1972",1,"1.122","10035","32791","26.1","-9999","38","0","51.1","16.1","10","-999","-9999","0","0","0","0","0",12.1297297297297
"18782","Monday",425,2014-03-31 14:59:21,2014-03-31 15:06:26,455,"1 Ave & E 44 St",40.75001986,-73.96905301,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,21204,"Subscriber","1967",1,"2.202","10017","0","33.1","-9999","50","0","51.1","9.2","10","-999","-9999","0","0","0","0","0",18.6522352941176
"18783","Friday",235,2014-03-07 16:18:36,2014-03-07 16:22:31,458,"11 Ave & W 27 St",40.751396,-74.005226,521,"8 Ave & W 31 St",40.75044999,-73.99481051,15152,"Subscriber","1978",1,"0.811","10001","0","24.1","-9999","62","0","36","6.9","10","30.3","-9999","0","0","0","0","0",12.423829787234
"18784","Thursday",396,2014-03-20 16:58:27,2014-03-20 17:05:03,2012,"E 27 St & 1 Ave",40.739445,-73.976806,379,"W 31 St & 7 Ave",40.749156,-73.9916,17053,"Subscriber","1975",1,"1.203","10016","10","26.1","-9999","38","0","51.1","16.1","10","-999","-9999","0","0","0","0","0",10.9363636363636
"18785","Friday",248,2014-03-07 12:59:25,2014-03-07 13:03:33,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,20690,"Subscriber","1971",1,"0.974","10019","0","21.9","-9999","66","0","32","11.5","10","23","-9999","0","0","0","0","0",14.1387096774194
"18786","Wednesday",221,2014-03-19 16:59:27,2014-03-19 17:03:08,472,"E 32 St & Park Ave",40.7457121,-73.98194829,379,"W 31 St & 7 Ave",40.749156,-73.9916,19718,"Subscriber","1970",1,"0.763","10016","14","32","-9999","63","0","44.1","4.6","9","41.5","-9999","0","0","0","0","0",12.4289592760181
