"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado"
"3055","Tuesday",270,2014-05-13 10:21:42,2014-05-13 10:26:12,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,17250,"Subscriber","1970",1,"0.769","10017","32791","42.1","-9999","48","0","62.1","16.1","10","-999","-9999","0","0","0","0","0"
"3056","Tuesday",359,2014-05-06 16:18:28,2014-05-06 16:24:27,359,"E 47 St & Park Ave",40.75510267,-73.97498696,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,17584,"Subscriber","1969",1,"1.122","10035","32791","28.9","-9999","22","0","69.1","5.8","10","-999","-9999","0","0","0","0","0"
"3057","Thursday",263,2014-05-15 16:00:49,2014-05-15 16:05:12,491,"E 24 St & Park Ave S",40.74096374,-73.98602213,379,"W 31 St & 7 Ave",40.749156,-73.9916,19387,"Subscriber","1975",1,"0.89","10010","-16","63","-9999","81","0","69.1","8.1","9","-999","-9999","0","0","0","0","0"
"3059","Thursday",265,2014-05-22 14:51:27,2014-05-22 14:55:52,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,19434,"Subscriber","1967",1,"0.729","10017","32791","57","-9999","87","0","61","5.8","3","-999","-9999","0","0","0","0","0"
"3062","Tuesday",262,2014-05-20 16:38:51,2014-05-20 16:43:13,458,"11 Ave & W 27 St",40.751396,-74.005226,521,"8 Ave & W 31 St",40.75044999,-73.99481051,14714,"Subscriber","1978",1,"0.811","10001","0","34","-9999","20","0","78.1","-9999","10","-999","-9999","0","0","0","0","0"
"3063","Tuesday",197,2014-05-06 09:43:43,2014-05-06 09:47:00,546,"E 30 St & Park Ave S",40.74444921,-73.98303529,379,"W 31 St & 7 Ave",40.749156,-73.9916,15404,"Subscriber","1976",1,"0.869","10016","-11","34","-9999","42","0","57","3.5","10","-999","-9999","0","0","0","0","0"
"3064","Friday",124,2014-05-16 11:36:43,2014-05-16 11:38:47,294,"Washington Square E",40.73049393,-73.9957214,382,"University Pl & E 14 St",40.73492695,-73.99200509,16736,"Subscriber","1994",1,"0.361","10003","-5","63","-9999","87","0","66.9","6.9","7","-999","-9999","0","0","0","0","0"
"3065","Friday",358,2014-05-02 16:24:52,2014-05-02 16:30:50,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,21476,"Subscriber","1960",1,"1.144","10017","0","34","-9999","28","0","68","6.9","10","-999","-9999","0","0","0","0","0"
"3066","Wednesday",158,2014-05-21 13:59:47,2014-05-21 14:02:25,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,509,"9 Ave & W 22 St",40.7454973,-74.00197139,21141,"Subscriber","1966",1,"0.661","10011","-12","48.9","-9999","45","0","71.1","0","10","-999","-9999","0","0","0","0","0"
"3067","Monday",387,2014-05-05 15:24:24,2014-05-05 15:30:51,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,15372,"Subscriber","1972",1,"1.083","10017","0","30","-9999","24","0","68","-9999","10","-999","-9999","0","0","0","0","0"
"3068","Wednesday",214,2014-05-28 16:27:42,2014-05-28 16:31:16,153,"E 40 St & 5 Ave",40.752062307,-73.9816324043,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,19785,"Subscriber","1971",1,"0.83","10017","-32828","50","-9999","69","0","60.1","6.9","10","-999","-9999","0","0","0","0","0"
"3069","Tuesday",252,2014-05-20 12:59:12,2014-05-20 13:03:24,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,19488,"Subscriber","1971",1,"0.974","10019","0","30.9","-9999","21","0","73.9","6.9","10","-999","-9999","0","0","0","0","0"
"3070","Monday",335,2014-05-12 14:21:01,2014-05-12 14:26:36,536,"1 Ave & E 30 St",40.74144387,-73.97536082,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,19998,"Subscriber","1975",1,"1.259","10016","-32782","55.9","-9999","42","0","81","6.9","10","-999","80.8","0","0","0","0","0"
"3071","Thursday",118,2014-05-29 12:26:10,2014-05-29 12:28:08,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,147,"Greenwich St & Warren St",40.71542197,-74.01121978,18249,"Subscriber","1986",1,"0.351","10013","8","43","-9999","53","0","60.1","3.5","10","-999","-9999","0","0","0","0","0"
"3072","Tuesday",160,2014-05-20 16:12:58,2014-05-20 16:15:38,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,15339,"Subscriber","1971",1,"0.679","10013","-1","34","-9999","20","0","78.1","-9999","10","-999","-9999","0","0","0","0","0"
"3073","Tuesday",258,2014-05-27 09:04:35,2014-05-27 09:08:53,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,521,"8 Ave & W 31 St",40.75044999,-73.99481051,17890,"Subscriber","1952",1,"1.096","10011","4","54","-9999","48","0","75","0","10","-999","-9999","0","0","0","0","0"
"3074","Thursday",379,2014-05-22 14:49:40,2014-05-22 14:55:59,491,"E 24 St & Park Ave S",40.74096374,-73.98602213,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,15005,"Subscriber","1973",1,"0.949","10010","-32815","57","-9999","87","0","61","5.8","3","-999","-9999","0","0","0","0","0"
"3075","Friday",319,2014-05-02 13:50:33,2014-05-02 13:55:52,167,"E 39 St & 3 Ave",40.7489006,-73.97604882,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,18541,"Subscriber","1967",1,"1.173","10016","0","33.1","-9999","29","0","66","5.8","10","-999","-9999","0","0","0","0","0"
"3076","Monday",164,2014-05-05 17:00:52,2014-05-05 17:03:36,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,497,"E 17 St & Broadway",40.73704984,-73.99009296,17998,"Subscriber","1982",1,"0.763","10003","-24","26.1","-9999","21","0","68","6.9","10","-999","-9999","0","0","0","0","0"
"3077","Monday",174,2014-05-12 15:23:18,2014-05-12 15:26:12,525,"W 34 St & 11 Ave",40.75594159,-74.0021163,490,"8 Ave & W 33 St",40.751551,-73.993934,21492,"Subscriber","1975",1,"0.865","10018","21","57","-9999","42","0","82","-9999","10","-999","81.7","0","0","0","0","0"
"3079","Thursday",425,2014-05-15 15:57:47,2014-05-15 16:04:52,359,"E 47 St & Park Ave",40.75510267,-73.97498696,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,15506,"Subscriber","1970",1,"1.497","10035","0","62.1","-9999","84","0","66.9","6.9","6","-999","-9999","0","0","0","0","0"
"3080","Tuesday",475,2014-05-06 16:35:51,2014-05-06 16:43:46,440,"E 45 St & 3 Ave",40.75255434,-73.97282625,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,18164,"Subscriber","1976",1,"1.534","10017","0","28.9","-9999","22","0","69.1","5.8","10","-999","-9999","0","0","0","0","0"
"3082","Friday",453,2014-05-23 14:22:08,2014-05-23 14:29:41,2012,"E 27 St & 1 Ave",40.739445,-73.976806,379,"W 31 St & 7 Ave",40.749156,-73.9916,18255,"Subscriber","1975",1,"1.203","10016","10","55","-9999","66","0","66.9","8.1","9","-999","-9999","0","0","0","0","0"
"3083","Monday",287,2014-05-05 16:55:27,2014-05-05 17:00:14,497,"E 17 St & Broadway",40.73704984,-73.99009296,379,"W 31 St & 7 Ave",40.749156,-73.9916,16322,"Subscriber","1975",1,"1.142","10003","4","27","-9999","21","0","69.1","11.5","10","-999","-9999","0","0","0","0","0"
"3084","Thursday",544,2014-05-15 16:36:45,2014-05-15 16:45:49,347,"W Houston St & Hudson St",40.72873888,-74.00748842,521,"8 Ave & W 31 St",40.75044999,-73.99481051,17200,"Subscriber","1985",1,"1.674","10014","-30","63","-9999","81","0","69.1","8.1","9","-999","-9999","0","0","0","0","0"
"3085","Tuesday",397,2014-05-27 16:06:23,2014-05-27 16:13:00,359,"E 47 St & Park Ave",40.75510267,-73.97498696,501,"FDR Drive & E 35 St",40.744219,-73.97121214,19341,"Subscriber","1975",1,"1.224","10035","0","59","-9999","44","0","82.9","9.2","10","-999","82.8","0","0","0","0","0"
"3086","Wednesday",165,2014-05-28 11:19:42,2014-05-28 11:22:27,472,"E 32 St & Park Ave",40.7457121,-73.98194829,527,"E 33 St & 1 Ave",40.74315566,-73.97434726,19451,"Subscriber","1989",1,"0.694","10016","16","48.9","-9999","77","0","55.9","8.1","10","-999","-9999","0","0","0","0","0"
"3087","Friday",110,2014-05-09 15:22:08,2014-05-09 15:23:58,494,"W 26 St & 8 Ave",40.74734825,-73.99723551,388,"W 26 St & 10 Ave",40.749717753,-74.002950346,17903,"Subscriber","1970",1,"0.974","10001","9","55.9","-9999","83","0","61","0","5","-999","-9999","0","0","0","0","0"
"3089","Tuesday",298,2014-05-20 16:48:06,2014-05-20 16:53:04,510,"W 51 St & 6 Ave",40.7606597,-73.98042047,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,16594,"Subscriber","1974",1,"1.299","10019","0","34","-9999","20","0","78.1","-9999","10","-999","-9999","0","0","0","0","0"
"3090","Friday",299,2014-05-23 12:43:37,2014-05-23 12:48:36,173,"Broadway & W 49 St",40.76064679,-73.98442659,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,18799,"Subscriber","1976",1,"0.855","10019","0","55","-9999","63","0","68","4.6","9","-999","-9999","0","0","0","0","0"
"3091","Wednesday",247,2014-05-28 15:38:04,2014-05-28 15:42:11,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,20707,"Subscriber","1978",1,"0.717","10011","-14","50","-9999","69","0","60.1","5.8","10","-999","-9999","0","0","0","0","0"
