"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado"
"4561","Friday",290,2013-11-15 16:36:50,2013-11-15 16:41:40,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,20334,"Subscriber","1976",1,"0.769","10017","32791","21.9","-9999","28","0","55","3.5","10","-999","-9999","0","0","0","0","0"
"4564","Tuesday",368,2013-11-05 16:10:58,2013-11-05 16:17:06,359,"E 47 St & Park Ave",40.75510267,-73.97498696,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,18690,"Subscriber","1969",1,"1.122","10035","32791","37","-9999","57","0","52","3.5","10","-999","-9999","0","0","0","0","0"
"4565","Friday",121,2013-11-15 14:52:03,2013-11-15 14:54:04,294,"Washington Square E",40.73049393,-73.9957214,382,"University Pl & E 14 St",40.73492695,-73.99200509,18917,"Subscriber","1983",1,"0.361","10003","-5","23","-9999","28","0","55.9","3.5","10","-999","-9999","0","0","0","0","0"
"4566","Wednesday",182,2013-11-06 15:20:11,2013-11-06 15:23:13,294,"Washington Square E",40.73049393,-73.9957214,483,"E 12 St & 3 Ave",40.73223272,-73.98889957,15945,"Subscriber","1993",1,"0.516","10003","2","41","-9999","49","0","60.1","0","10","-999","-9999","0","0","0","0","0"
"4568","Monday",232,2013-11-18 13:39:57,2013-11-18 13:43:49,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,19393,"Subscriber","1972",1,"0.717","10011","-14","33.1","-9999","31","0","64.9","4.6","10","-999","-9999","0","0","0","0","0"
"4569","Monday",105,2013-11-18 09:23:29,2013-11-18 09:25:14,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,524,"W 43 St & 6 Ave",40.75527307,-73.98316936,16237,"Subscriber","1978",1,"0.29","10017","0","44.1","-9999","55","0","60.1","11.5","10","-999","-9999","0","0","0","0","0"
"4571","Friday",167,2013-11-08 13:07:58,2013-11-08 13:10:45,458,"11 Ave & W 27 St",40.751396,-74.005226,521,"8 Ave & W 31 St",40.75044999,-73.99481051,18741,"Subscriber","1968",1,"0.811","10001","0","23","-9999","37","0","48","11.5","10","-999","-9999","0","0","0","0","0"
"4572","Monday",443,2013-11-04 16:45:54,2013-11-04 16:53:17,2012,"E 27 St & 1 Ave",40.739445,-73.976806,379,"W 31 St & 7 Ave",40.749156,-73.9916,16757,"Subscriber","1975",1,"1.203","10016","10","17.1","-9999","34","0","44.1","0","10","-999","-9999","0","0","0","0","0"
"4573","Wednesday",174,2013-11-06 16:09:27,2013-11-06 16:12:21,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,18958,"Subscriber","1971",1,"0.679","10013","-1","44.1","-9999","60","0","57.9","6.9","10","-999","-9999","0","0","0","0","0"
"4574","Friday",115,2013-11-15 16:29:18,2013-11-15 16:31:13,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,147,"Greenwich St & Warren St",40.71542197,-74.01121978,15743,"Subscriber","1975",1,"0.351","10013","8","21.9","-9999","28","0","55","3.5","10","-999","-9999","0","0","0","0","0"
