"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado"
"7726","Wednesday",294,2013-10-16 14:10:51,2013-10-16 14:15:45,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,17218,"Subscriber","1982",1,"0.769","10017","32791","53.1","-9999","65","0","64.9","4.6","10","-999","-9999","0","0","0","0","0"
"7728","Tuesday",116,2013-10-22 15:19:24,2013-10-22 15:21:20,294,"Washington Square E",40.73049393,-73.9957214,382,"University Pl & E 14 St",40.73492695,-73.99200509,15999,"Subscriber","1993",1,"0.361","10003","-5","43","-9999","50","0","62.1","3.5","10","-999","-9999","0","0","0","0","0"
"7729","Wednesday",153,2013-10-23 16:50:20,2013-10-23 16:52:53,294,"Washington Square E",40.73049393,-73.9957214,483,"E 12 St & 3 Ave",40.73223272,-73.98889957,17498,"Subscriber","1994",1,"0.516","10003","2","32","-9999","43","0","54","0","10","-999","-9999","0","0","0","0","0"
"7730","Tuesday",348,2013-10-22 15:57:22,2013-10-22 16:03:10,359,"E 47 St & Park Ave",40.75510267,-73.97498696,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,19293,"Subscriber","1969",1,"1.122","10035","32791","43","-9999","50","0","62.1","3.5","10","-999","-9999","0","0","0","0","0"
"7731","Friday",106,2013-10-04 12:05:19,2013-10-04 12:07:05,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,147,"Greenwich St & Warren St",40.71542197,-74.01121978,20519,"Subscriber","1982",1,"0.351","10013","8","63","-9999","58","0","79","3.5","6","-999","-9999","0","0","0","0","0"
"7732","Thursday",195,2013-10-17 09:37:41,2013-10-17 09:40:56,472,"E 32 St & Park Ave",40.7457121,-73.98194829,536,"1 Ave & E 30 St",40.74144387,-73.97536082,19402,"Subscriber","1966",1,"0.558","10016","-3","59","-9999","84","0","64","0","4","-999","-9999","0","0","0","0","0"
"7734","Friday",145,2013-10-25 13:38:56,2013-10-25 13:41:21,285,"Broadway & E 14 St",40.73454567,-73.99074142,335,"Washington Pl & Broadway",40.72903917,-73.99404649,18217,"Subscriber","1971",1,"0.438","10003","6","28.9","-9999","44","0","50","8.1","10","-999","-9999","0","0","0","0","0"
"7735","Thursday",255,2013-10-31 16:16:33,2013-10-31 16:20:48,458,"11 Ave & W 27 St",40.751396,-74.005226,521,"8 Ave & W 31 St",40.75044999,-73.99481051,19683,"Subscriber","1978",1,"0.811","10001","0","57.9","-9999","86","0","62.1","3.5","5","-999","-9999","0","0","0","0","0"
"7736","Thursday",286,2013-10-17 15:10:47,2013-10-17 15:15:33,519,"Pershing Square N",40.75188406,-73.97770164,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,19583,"Subscriber","1976",1,"0.793","10017","32791","57.9","-9999","59","0","73","0","8","-999","-9999","0","0","0","0","0"
"7737","Friday",106,2013-10-11 12:05:29,2013-10-11 12:07:15,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,524,"W 43 St & 6 Ave",40.75527307,-73.98316936,20565,"Subscriber","1975",1,"0.29","10017","0","57.9","0.01","86","0","62.1","6.9","2","-999","-9999","0","1","0","0","0"
"7738","Wednesday",280,2013-10-23 09:18:40,2013-10-23 09:23:20,521,"8 Ave & W 31 St",40.75044999,-73.99481051,434,"9 Ave & W 18 St",40.74317449,-74.00366443,14559,"Subscriber","1971",1,"1.007","10001","1","37","-9999","57","0","52","0","10","-999","-9999","0","0","0","0","0"
"7739","Thursday",259,2013-10-31 16:39:09,2013-10-31 16:43:28,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,521,"8 Ave & W 31 St",40.75044999,-73.99481051,19144,"Subscriber","1971",1,"1.096","10011","4","57.9","-9999","86","0","62.1","3.5","5","-999","-9999","0","0","0","0","0"
"7740","Wednesday",327,2013-10-02 09:25:50,2013-10-02 09:31:17,417,"Barclay St & Church St",40.71291224,-74.01020234,415,"Pearl St & Hanover Square",40.7047177,-74.00926027,20011,"Subscriber","1990",1,"0.873","10007","0","54","-9999","61","0","68","4.6","10","-999","-9999","0","0","0","0","0"
"7741","Wednesday",129,2013-10-09 16:00:54,2013-10-09 16:03:03,524,"W 43 St & 6 Ave",40.75527307,-73.98316936,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,18976,"Subscriber","1984",1,"0.498","10036","0","45","-9999","53","0","62.1","10.4","10","-999","-9999","0","0","0","0","0"
"7742","Wednesday",162,2013-10-09 16:13:00,2013-10-09 16:15:42,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,19495,"Subscriber","1971",1,"0.679","10013","-1","45","-9999","53","0","62.1","10.4","10","-999","-9999","0","0","0","0","0"
"7743","Friday",137,2013-10-25 15:18:28,2013-10-25 15:20:45,472,"E 32 St & Park Ave",40.7457121,-73.98194829,528,"2 Ave & E 31 St",40.74290902,-73.97706058,15382,"Subscriber","1984",1,"0.366","10016","-4","27","-9999","37","0","53.1","4.6","10","-999","-9999","0","0","0","0","0"
"7744","Thursday",436,2013-10-31 14:22:00,2013-10-31 14:29:16,536,"1 Ave & E 30 St",40.74144387,-73.97536082,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,19699,"Subscriber","1968",1,"1.259","10016","-32782","57.9","-9999","86","0","62.1","4.6","3","-999","-9999","0","0","0","0","0"
"7746","Thursday",136,2013-10-17 10:48:48,2013-10-17 10:51:04,382,"University Pl & E 14 St",40.73492695,-73.99200509,294,"Washington Square E",40.73049393,-73.9957214,16827,"Subscriber","1993",1,"0.688","10003","5","59","-9999","81","0","64.9","0","5","-999","-9999","0","0","0","0","0"
"7749","Friday",199,2013-10-11 11:03:19,2013-10-11 11:06:38,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,497,"E 17 St & Broadway",40.73704984,-73.99009296,19273,"Subscriber","1980",1,"0.763","10003","-24","55","-9999","73","0","64","4.6","10","-999","-9999","0","0","0","0","0"
"7751","Tuesday",159,2013-10-29 13:53:57,2013-10-29 13:56:36,285,"Broadway & E 14 St",40.73454567,-73.99074142,294,"Washington Square E",40.73049393,-73.9957214,19139,"Subscriber","1994",1,"0.597","10003","-12","28.9","-9999","38","0","54","3.5","10","-999","-9999","0","0","0","0","0"
"7752","Wednesday",125,2013-10-02 09:02:43,2013-10-02 09:04:48,468,"Broadway & W 55 St",40.7652654,-73.98192338,173,"Broadway & W 49 St",40.76064679,-73.98442659,14834,"Subscriber","1980",1,"0.346","10019","-32800","54","-9999","61","0","68","4.6","10","-999","-9999","0","0","0","0","0"
"7753","Wednesday",104,2013-10-23 13:45:09,2013-10-23 13:46:53,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,453,"W 22 St & 8 Ave",40.74475148,-73.99915362,18950,"Subscriber","1996",1,"0.32","10011","8","34","-9999","50","0","52","10.4","10","-999","-9999","0","0","0","0","0"
"7758","Wednesday",214,2013-10-30 16:00:12,2013-10-30 16:03:46,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,19908,"Subscriber","1968",1,"0.829","10019","0","46.9","-9999","64","0","59","4.6","10","-999","-9999","0","0","0","0","0"
"7759","Wednesday",352,2013-10-16 14:39:44,2013-10-16 14:45:36,519,"Pershing Square N",40.75188406,-73.97770164,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,17502,"Subscriber","1961",1,"1.147","10017","0","53.1","-9999","65","0","64.9","4.6","10","-999","-9999","0","0","0","0","0"
"7761","Thursday",224,2013-10-17 15:56:06,2013-10-17 15:59:50,497,"E 17 St & Broadway",40.73704984,-73.99009296,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,19971,"Subscriber","1984",1,"0.671","10003","-19","57.9","-9999","59","0","73","0","8","-999","-9999","0","0","0","0","0"
"7762","Thursday",341,2013-10-31 15:02:23,2013-10-31 15:08:04,517,"Pershing Square S",40.75149263,-73.97798848,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,18637,"Subscriber","1974",1,"1.178","10017","0","59","-9999","90","0","62.1","3.5","2","-999","-9999","0","0","0","0","0"
"7763","Friday",342,2013-10-04 16:37:13,2013-10-04 16:42:55,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,14561,"Subscriber","1974",1,"1.144","10017","0","62.1","-9999","49","0","82.9","4.6","10","-999","83.7","0","0","0","0","0"
"7767","Tuesday",199,2013-10-22 15:20:35,2013-10-22 15:23:54,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,19872,"Subscriber","1984",1,"0.717","10011","-14","43","-9999","50","0","62.1","3.5","10","-999","-9999","0","0","0","0","0"
"7768","Friday",190,2013-10-18 13:25:00,2013-10-18 13:28:10,458,"11 Ave & W 27 St",40.751396,-74.005226,494,"W 26 St & 8 Ave",40.74734825,-73.99723551,15132,"Subscriber","1983",1,"0.547","10001","-4","42.1","-9999","40","0","66.9","6.9","10","-999","-9999","0","0","0","0","0"
"7769","Friday",411,2013-10-04 16:46:39,2013-10-04 16:53:30,468,"Broadway & W 55 St",40.7652654,-73.98192338,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,17950,"Subscriber","1968",1,"1.201","10019","-32800","62.1","-9999","49","0","82.9","4.6","10","-999","83.7","0","0","0","0","0"
"7770","Friday",312,2013-10-18 16:28:17,2013-10-18 16:33:29,173,"Broadway & W 49 St",40.76064679,-73.98442659,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,20297,"Subscriber","1964",1,"0.855","10019","0","39","-9999","36","0","66.9","8.1","10","-999","-9999","0","0","0","0","0"
"7771","Friday",186,2013-10-04 14:39:39,2013-10-04 14:42:45,497,"E 17 St & Broadway",40.73704984,-73.99009296,521,"8 Ave & W 31 St",40.75044999,-73.99481051,19160,"Subscriber","1982",1,"1.34","10003","-15","61","-9999","47","0","82.9","3.5","9","-999","83.3","0","0","0","0","0"
"7772","Thursday",339,2013-10-31 16:17:28,2013-10-31 16:23:07,352,"W 56 St & 6 Ave",40.76340613,-73.97722479,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,16071,"Subscriber","1982",1,"1.014","10019","0","57.9","-9999","86","0","62.1","3.5","5","-999","-9999","0","0","0","0","0"
"7774","Wednesday",179,2013-10-09 15:23:36,2013-10-09 15:26:35,525,"W 34 St & 11 Ave",40.75594159,-74.0021163,490,"8 Ave & W 33 St",40.751551,-73.993934,16921,"Subscriber","1975",1,"0.865","10018","21","46.9","-9999","58","0","62.1","9.2","10","-999","-9999","0","0","0","0","0"
"7775","Thursday",262,2013-10-03 17:00:38,2013-10-03 17:05:00,537,"Lexington Ave & E 24 St",40.74025878,-73.98409214,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,19902,"Subscriber","1968",1,"1.199","10010","-32801","52","-9999","44","0","75","0","10","-999","-9999","0","0","0","0","0"
"7776","Thursday",307,2013-10-03 09:26:45,2013-10-03 09:31:52,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,19400,"Subscriber","1973",1,"0.884","10001-2062","0","55","-9999","63","0","68","0","10","-999","-9999","0","0","0","0","0"
"7777","Friday",240,2013-10-18 16:19:57,2013-10-18 16:23:57,153,"E 40 St & 5 Ave",40.752062307,-73.9816324043,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,18936,"Subscriber","1971",1,"0.83","10017","-32828","39","-9999","36","0","66.9","8.1","10","-999","-9999","0","0","0","0","0"
"7778","Monday",183,2013-10-28 11:46:21,2013-10-28 11:49:24,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,499,"Broadway & W 60 St",40.76915505,-73.98191841,17237,"Subscriber","1970",1,"0.759","10153","32798","28","-9999","40","0","52","5.8","10","-999","-9999","0","0","0","0","0"
"7779","Thursday",286,2013-10-17 14:47:15,2013-10-17 14:52:01,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,521,"8 Ave & W 31 St",40.75044999,-73.99481051,18634,"Subscriber","1971",1,"0.823","10011","-9","57.9","-9999","59","0","73","-9999","8","-999","-9999","0","0","0","0","0"
"7781","Friday",223,2013-10-11 12:25:38,2013-10-11 12:29:21,483,"E 12 St & 3 Ave",40.73223272,-73.98889957,294,"Washington Square E",40.73049393,-73.9957214,19389,"Subscriber","1994",1,"0.688","10003","-2","57.9","0.01","86","0","62.1","6.9","2","-999","-9999","0","1","0","0","0"
"7782","Wednesday",222,2013-10-30 10:09:31,2013-10-30 10:13:13,519,"Pershing Square N",40.75188406,-73.97770164,546,"E 30 St & Park Ave S",40.74444921,-73.98303529,19572,"Subscriber","1985",1,"0.638","10017","32810","39.9","-9999","61","0","53.1","0","5","-999","-9999","0","0","0","0","0"
"7783","Tuesday",392,2013-10-15 14:21:23,2013-10-15 14:27:55,212,"W 16 St & The High Line",40.74334935,-74.00681753,521,"8 Ave & W 31 St",40.75044999,-73.99481051,18120,"Subscriber","1975",1,"1.054","10011","5","50","-9999","49","0","70","0","10","-999","-9999","0","0","0","0","0"
"7785","Friday",306,2013-10-04 11:06:51,2013-10-04 11:11:57,347,"W Houston St & Hudson St",40.72873888,-74.00748842,521,"8 Ave & W 31 St",40.75044999,-73.99481051,19433,"Subscriber","1986",1,"1.674","10014","-30","62.1","-9999","62","0","75.9","0","5","-999","-9999","0","0","0","0","0"
"7786","Monday",221,2013-10-28 13:09:29,2013-10-28 13:13:10,499,"Broadway & W 60 St",40.76915505,-73.98191841,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,17852,"Subscriber","1970",1,"0.917","10463","-32798","28.9","-9999","32","0","59","5.8","10","-999","-9999","0","0","0","0","0"
"7787","Thursday",157,2013-10-10 11:49:47,2013-10-10 11:52:24,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,459,"W 20 St & 11 Ave",40.746745,-74.007756,19861,"Subscriber","1989",1,"0.593","10011","-1","48.9","-9999","74","0","57","10.4","10","-999","-9999","0","0","0","0","0"
